"TARCODIGO","TARSALDOS","TARFECHA"
"2017147","21.03","20181022182553"
"2017030","0","20181022182553"
"2014024","0","20181022182553"
"2009193","0","20181022182553"
"2012307","0","20181022182553"
"2007234","0","20181022182553"
"2009177","234.29","20181022182553"
"2012026","0","20181022182553"
"2016015","0","20181022182553"
"2010239","0","20181022182553"
"2012301","0","20181022182553"
"2009279","84.87","20181022182553"
"2013058","0","20181022182553"
"2013097","0","20181022182553"
"2013130","0","20181022182553"
"2013057","0","20181022182553"
"2017133","0","20181022182553"
"2017134","0","20181022182553"
"2006263","0","20181022182553"
"2003186","0","20181022182553"
"2011332","0","20181022182553"
"2005079","0","20181022182553"
"2006271","0","20181022182553"
"2011252","7.11","20181022182553"
"2013113","0","20181022182553"
"2017031","0","20181022182553"
"2009117","0","20181022182553"
"2009270","0","20181022182553"
"2013082","0","20181022182553"
"2003072","0","20181022182553"
"2014048","0","20181022182553"
"2014047","0","20181022182553"
"2006215","0","20181022182553"
"2006269","0","20181022182553"
"2006087","0","20181022182553"
